,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Castero Trebbiano 2021 kartonkitölkki,13.0,1.0,8.49,8.49,1.5312131919905771
0,Santiago 1541 Syrah Cabernet Malbec 2019 hanapakkaus,12.5,3.0,24.99,8.33,1.5006002400960383
0,Caravan Rosé 2021 muovipullo,13.0,0.75,6.50,8.666666666666666,1.5
0,Adobe Cabernet Sauvignon Merlot 2020 hanapakkaus,13.5,3.0,27.49,9.163333333333332,1.4732630047289925
0,Lounge Wine Merlot 2021 kartonkitölkki,11.5,1.0,7.99,7.99,1.4392991239048811
0,Lobetia Tempranillo Shiraz 2020 kartonkitölkki,13.5,1.0,9.49,9.49,1.422550052687039
0,Aussie Kangarouge A Rich Shiraz kartonkitölkki,13.5,1.0,9.49,9.49,1.422550052687039
0,Castillo de Gredos Tinto hanapakkaus,13.0,3.0,27.49,9.163333333333332,1.4186977082575483
0,Piqueras Syrah Monastrell 2022 hanapakkaus,14.5,3.0,30.98,10.326666666666666,1.4041316978695932
0,Selfie Oaked Pinotage 2020 kartonkitölkki,14.0,1.0,9.98,9.98,1.4028056112224447
0,Rosie Rosé 2022 kartonkitölkki,14.0,1.0,9.99,9.99,1.4014014014014013
0,Chef's Selection Tomi Björck Edition Shiraz 2020 hanapakkaus,13.5,3.0,28.90,9.633333333333333,1.4013840830449829
0,Bio Logico Organic Tempranillo 2021 hanapakkaus,14.0,3.0,29.98,9.993333333333334,1.400933955970647
0,Gustoso Vino Rosso Organico 2019 hanapakkaus,12.5,3.0,26.98,8.993333333333334,1.3899184581171238
0,Curiosity Tempranillo kartonkitölkki,13.0,1.0,9.49,9.49,1.36986301369863
0,Liisa Muscat Sauvignon Blanc kartonkitölkki,13.0,1.0,9.49,9.49,1.36986301369863
0,Smooth Escape Shiraz Cabernet 2021 kartonkitölkki,13.5,1.0,9.88,9.88,1.3663967611336032
0,Doris muovipullo,15.0,0.75,8.29,11.053333333333333,1.3570566948130278
0,Valdemar muovipullo,15.0,0.75,8.29,11.053333333333333,1.3570566948130278
0,Kuronen Red 2021 hanapakkaus,14.0,3.0,30.98,10.326666666666666,1.355713363460297
0,The Big Zin Zinfandel 2020 hanapakkaus,14.0,3.0,30.98,10.326666666666666,1.355713363460297
0,Tapio Viina muovipullo,39.0,1.0,28.85,28.85,1.3518197573656845
0,Ícaro Tinto 2022 hanapakkaus,13.5,3.0,29.98,9.993333333333334,1.3509006004002668
0,Contramaestre Syrah Tempranillo Garnacha Organic 2021 hanapakkaus,13.5,3.0,29.98,9.993333333333334,1.3509006004002668
0,Castillo de Anna Appasanto Tempranillo hanapakkaus,13.5,3.0,29.98,9.993333333333334,1.3509006004002668
0,Casa Santos Lima Red Blend Portugal 2021 hanapakkaus,13.5,3.0,29.98,9.993333333333334,1.3509006004002668
0,Cerro Tinto kartonkitölkki,12.5,1.0,9.29,9.29,1.3455328310010766
0,Sisuviina muovipullo,37.5,1.0,27.99,27.99,1.339764201500536
0,Laua Viin muovipullo,40.0,0.5,14.99,29.98,1.33422281521014
0,Koskenkorva Viina muovipullo,38.0,0.7,19.98,28.542857142857144,1.3313313313313313
0,Saunalahden Viina muovipullo,37.5,0.7,19.78,28.25714285714286,1.3270980788675428
0,Viña Albali Organic Tempranillo 2021 hanapakkaus,13.0,3.0,29.49,9.83,1.3224821973550356
0,Leijona Viina muovipullo,32.0,0.7,16.98,24.25714285714286,1.3191990577149586
0,Suomi Viina muovipullo,32.0,1.0,24.29,24.29,1.3174145738987237
0,Zafaria Winemakers Blend Chenin Blanc 2023 kartonkitölkki,12.5,1.0,9.49,9.49,1.3171759747102212
0,Aussie Great White Chardonnay 2021 kartonkitölkki,12.5,1.0,9.49,9.49,1.3171759747102212
0,Castillo de Gredos Tinto kartonkitölkki,13.0,1.0,9.88,9.88,1.3157894736842104
0,Gambina muovipullo,21.0,0.75,11.98,15.973333333333334,1.3146911519198663
0,Castano Ecologico Monastrell 2021 hanapakkaus,14.0,3.0,31.98,10.66,1.3133208255159474
0,Gosa Organic Monastrell 2021 hanapakkaus,14.0,3.0,31.99,10.663333333333332,1.3129102844638951
0,Chill Out Cabernet Sauvignon Australia 2022 hanapakkaus,14.0,3.0,31.99,10.663333333333332,1.3129102844638951
0,Marabello muovipullo,15.0,0.75,8.58,11.44,1.3111888111888113
0,Castillo de Gredos Blanco hanapakkaus,12.0,3.0,27.49,9.163333333333332,1.30956711531466
0,2u Duas Uvas 2021 hanapakkaus,13.5,3.0,30.98,10.326666666666666,1.3072950290510008
