#{"t_start": 1701792072.7544203, "env_id": "None"}
r,l,t
-1.192,58,0.287261
-1.091,58,0.30828
-8.824,160,0.364331
-1.058,60,0.38535
-11.694,252,0.47343
-7.354,155,0.528481
-12.268,255,0.617561
-1.183,60,0.63858
-0.97,58,0.6596
-1.11,60,0.680619
-0.958,58,0.701638
-0.94,58,0.722656
-10.886,252,0.810737
-7.695,155,0.866788
-1.23,58,0.887807
-8.483,155,0.942857
-29.013,341,1.832665
-1.039,58,1.856687
-1.19,58,1.878707
-1.265,60,1.901728
-10.276,252,1.997816
-8.889,155,2.052866
-1.115,58,2.074886
-1.036,58,2.095905
-1.016,58,2.116924
-10.659,252,2.206509
-1.054,58,2.227528
-7.728,155,2.282578
-10.302,252,2.371659
-1.226,58,2.393679
-8.05,155,2.447728
-1.386,60,2.469748
-1.07,58,2.490767
-1.095,58,3.245453
-0.932,58,3.269474
-0.986,58,3.294497
-12.34,252,3.39559
-1.077,58,3.41861
-1.071,60,3.442632
-9.226,252,3.532714
-56.354,511,3.783942
-8.675,155,3.838992
-8.222,155,3.893042
-16.535,254,3.983123
-7.943,155,4.037172
-1.066,58,4.058191
-12.971,260,4.892949
-8.993,155,4.954006
-7.571,155,5.01406
-7.885,164,5.073113
-1.148,58,5.094133
-0.948,58,5.116153
-8.163,155,5.171203
-7.609,155,5.228255
-7.799,155,5.283305
-1.064,58,5.305325
-54.044,510,5.484488
-8.402,155,5.539538
-1.045,58,6.301229
-1.059,60,6.325251
-8.106,155,6.38931
-8.122,155,6.452367
-1.12,58,6.477389
-1.347,58,6.49941
-8.212,155,6.55546
-0.977,58,6.57648
-9.83,252,6.665561
-1.181,58,6.68658
-0.999,58,6.707599
-8.387,155,6.76365
-8.128,155,6.8187
-103.571,671,7.79859
-0.933,58,7.824614
-7.408,155,7.887671
-1.257,58,7.911693
-1.174,58,7.936715
-33.033,342,8.062831
-67.145,521,8.247999
-1.179,58,8.269018
-12.1,252,8.359099
-11.09,252,8.44718
-8.256,159,8.504231
-0.968,58,8.525251
-1.163,58,9.29495
-7.359,155,9.360009
-1.242,58,9.385032
-1.073,58,9.411055
-8.914,155,9.478116
-12.283,254,9.571201
-0.93,58,9.59222
-1.253,58,9.61424
-1.164,60,9.637261
-7.369,155,9.701319
-8.868,155,9.758371
-8.423,155,9.815423
-1.091,58,9.836442
-1.124,60,9.859463
-65.669,517,10.043631
