#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-39.447322,2,1.811648
-39.761407,2,1.812649
-39.407955,3,1.81365
-39.884367,2,1.814651
-37.942361,10,1.817654
-38.807291,11,1.821657
-39.347783,2,1.822658
-39.4,3,1.823659
-39.278581,7,1.825661
-39.8,1,1.826662
-39.636137,8,1.829664
-39.742808,2,1.829664
-39.414727,3,1.830665
-39.588245,2,1.831666
-39.4,3,1.832667
-37.907784,6,1.83467
-39.649242,2,1.83567
-39.550426,4,1.836671
-39.514738,5,1.838674
-39.444877,4,1.840674
-39.615776,4,1.841675
-39.582637,4,1.843678
-39.8,1,1.843678
-39.618144,2,1.844678
-39.960809,8,1.84668
-39.8,1,1.847681
-39.249242,4,1.848682
-39.622447,4,1.850684
-37.222323,8,1.853686
-37.436911,7,1.855688
-37.645589,10,1.859691
-38.677421,6,1.861694
-39.4,3,1.862695
-38.09749,15,1.867699
-39.519072,5,1.869701
-39.093784,5,1.871703
-39.878751,2,1.871703
-39.590914,2,1.872703
-39.037622,5,1.874706
-40.016124,2,1.874706
-39.8,1,1.875706
-36.755101,12,1.87971
-39.27275,2,1.881713
-39.839212,2,1.884715
-39.221858,8,1.886717
-39.8,1,1.887717
-39.333871,2,1.888718
-37.546497,9,1.89072
-39.418139,3,1.891721
-39.431272,5,1.893723
-37.92891,9,1.90073
-39.8,1,1.90173
-39.8,1,1.902731
-36.955057,8,1.905734
-39.8,1,1.905734
-37.524257,11,1.909738
-38.416951,14,1.913741
-39.24887,2,1.914741
-39.8,1,1.915742
-39.530627,5,1.916743
-37.244585,12,1.920747
-39.755773,2,1.921748
-39.8,1,1.92275
-39.4,3,1.92375
-39.8,1,1.92375
-38.238348,9,1.926752
-39.8,1,1.927754
-38.884869,4,1.928755
-39.41328,3,1.929756
-39.405282,3,1.930757
-39.8,1,1.930757
-39.550344,5,1.932758
-39.717566,7,1.93476
-39.56866,4,1.936762
-39.8,1,1.936762
-39.8,1,1.937763
-39.8,1,1.937763
-39.8,1,1.937763
-37.851321,11,1.941767
-39.932961,2,1.942768
-39.8,1,1.942768
-35.495174,13,1.946771
-39.8,1,1.947772
-38.76391,5,1.948773
-39.8,1,1.949774
-37.215588,17,1.954778
-39.8,1,1.954778
-39.289481,5,1.95678
-38.844895,7,1.958782
-39.8,1,1.959783
-39.8,1,1.959783
-39.8,1,1.959783
-39.603321,9,1.962786
-39.419648,3,1.963787
-38.257223,7,1.966789
-40.056838,6,1.968791
-39.204678,2,1.968791
-39.637513,4,1.970793
-39.8,1,1.970793
-39.546008,2,1.971794
-38.746668,7,1.973796
-38.816113,4,1.974797
-39.8,1,1.975798
-39.215981,5,1.976798
-39.472534,6,1.9788
-39.331432,2,1.979801
-39.719117,2,1.980802
-37.927564,6,1.982804
-39.963207,2,1.982804
-39.8,1,1.983805
-39.539746,5,1.984806
-39.4,3,1.985807
-39.4,3,1.986807
-39.8,1,1.987809
-38.544042,7,1.98981
-38.936201,4,1.990811
-39.41935,3,1.991812
-39.284696,2,1.992813
-37.720943,9,1.995816
-37.557779,7,1.997818
-39.40509,3,1.998818
-39.8,1,1.99982
-39.8,1,1.99982
-39.694744,9,2.002822
-39.40885,3,2.003823
-37.88676,13,2.007827
-38.792501,9,2.010829
-39.419709,3,2.01183
-39.201094,2,2.012831
-37.890013,7,2.014833
-39.418222,3,2.015834
-39.235478,2,2.016835
-39.769718,2,2.016835
-39.729439,2,2.017836
-39.853584,2,2.018837
-39.935069,2,2.018837
-39.492348,5,2.020838
-39.705054,5,2.02284
-39.418873,3,2.023841
-39.8,1,2.023841
-39.8,1,2.023841
-38.984217,5,2.025843
-39.8,1,2.026844
-39.9234,2,2.026844
-39.8,1,2.027845
-39.97544,2,2.027845
-39.41509,3,2.028846
