#{"t_start": 1698578373.8929307, "env_id": "None"}
r,l,t
-39.0,1,0.26424
-39.0,1,0.265241
-39.0,1,0.265241
-37.0,3,0.267243
-37.64887,2,0.268244
-37.98005,2,0.269244
-37.755818,2,0.270246
-37.0,3,0.271246
-38.208409,2,0.272247
-34.105372,7,0.27525
-37.90699,2,0.277251
-39.0,1,0.277251
-37.734698,2,0.278252
-30.177022,10,0.284258
-39.0,1,0.284258
-37.748733,2,0.285259
-37.0,3,0.287261
-39.0,1,0.288262
-37.0,3,0.289263
-39.0,1,0.290263
-39.0,1,0.290263
-37.752898,2,0.291264
-39.0,1,0.292265
-37.707596,2,0.293266
-37.768882,2,0.293266
-38.298913,2,0.295268
-37.0,3,0.296269
-33.612542,6,0.298271
-39.0,1,0.299272
-20.324555,20,0.306278
-35.987512,4,0.30828
-37.0,3,0.309281
-39.0,1,0.310282
-31.246897,10,0.313284
-37.0,3,0.315286
-35.8,5,0.317288
-39.0,1,0.317288
-37.0,3,0.31929
-28.49701,14,0.324295
-39.0,1,0.324295
-39.0,1,0.325295
-37.0,3,0.326296
-37.0,3,0.327297
-39.0,1,0.328298
-39.0,1,0.328298
-35.861365,4,0.3303
-37.0,3,0.331301
-39.0,1,0.332302
-39.0,1,0.332302
-36.288989,4,0.334303
-34.064911,6,0.336305
-37.788854,2,0.337306
-34.044374,7,0.340309
-38.199353,2,0.340309
-39.0,1,0.34131
-38.049599,2,0.342311
-39.0,1,0.342311
-37.0,3,0.343312
-36.286882,4,0.345313
-37.701054,2,0.346315
-38.190414,2,0.347315
-38.185272,2,0.348316
-37.0,3,0.349317
-39.0,1,0.349317
-32.986539,7,0.35232
-29.154809,10,0.356324
-37.0,3,0.357324
-39.0,1,0.358325
-39.0,1,0.358325
-38.277607,2,0.359326
-36.165685,4,0.361328
-37.621636,2,0.362329
-37.763056,2,0.36333
-28.041595,10,0.367333
-37.971509,2,0.367333
-39.0,1,0.368334
-34.22595,5,0.370337
-37.0,3,0.371337
-37.6,2,0.372338
-28.501173,11,0.376342
-39.0,1,0.377342
-39.0,1,0.377342
-31.59353,8,0.381346
-29.604222,11,0.38535
-38.106034,2,0.38635
-38.080629,2,0.387352
-37.604324,2,0.388353
-35.08227,5,0.390354
-38.338627,2,0.390354
-37.793178,2,0.391356
-38.380477,2,0.392356
-34.452276,5,0.394358
-32.531928,8,0.397361
-35.390914,5,0.400363
-34.062799,7,0.404367
-36.246888,4,0.405368
-39.0,1,0.406369
-37.720783,2,0.40737
-36.199806,4,0.408371
-37.876916,2,0.409371
-36.123984,4,0.411373
-39.0,1,0.412374
-38.237513,2,0.412374
-39.0,1,0.413375
-34.535722,5,0.415377
-36.178767,4,0.416378
-39.0,1,0.417379
-37.696328,2,0.41838
-32.463334,7,0.420382
-39.0,1,0.421382
-37.702396,2,0.422384
-39.0,1,0.422384
-39.0,1,0.423384
-37.986681,2,0.423384
-39.0,1,0.424385
-33.724595,6,0.427388
-38.231118,2,0.428389
-34.378529,6,0.430391
-37.0,3,0.431391
-35.076356,5,0.433393
-39.0,1,0.434394
-39.0,1,0.434394
-39.0,1,0.435395
-39.0,1,0.435395
-34.010849,7,0.438398
-32.487818,8,0.441401
-35.604678,4,0.443402
-30.032048,9,0.447406
-37.0,3,0.448407
-37.0,3,0.449408
-39.0,1,0.450409
-37.0,3,0.45141
-29.360702,10,0.455414
-37.0,3,0.456414
-37.919861,2,0.457415
-39.0,1,0.458416
-38.39616,2,0.458416
-37.0,3,0.460418
-32.151076,10,0.464422
-25.904104,15,0.469426
-39.0,1,0.470427
-37.0,3,0.471428
-35.657327,5,0.474431
-39.0,1,0.474431
-33.232471,6,0.478434
-38.366243,2,0.479435
-37.725469,2,0.480436
-37.990914,2,0.481437
-33.501909,6,0.48444
-39.0,1,0.48444
-37.628708,2,0.48544
-34.261292,7,0.488443
-32.615895,9,0.492447
-37.0,3,0.493448
-33.629516,6,0.496451
-39.0,1,0.496451
-39.0,1,0.497452
-29.927558,10,0.500454
-37.0,3,0.502456
-35.172579,5,0.504458
-39.0,1,0.504458
-36.380235,4,0.50646
-37.0,3,0.507461
-32.096539,7,0.510463
-39.0,1,0.510463
-39.0,1,0.511464
-37.0,3,0.512465
-34.451311,5,0.514467
-28.96153,11,0.518471
-37.0,3,0.520472
-33.256144,6,0.522474
-36.393249,4,0.524476
-38.33518,2,0.525477
-39.0,1,0.525477
-34.809518,6,0.52848
-38.300226,2,0.529481
-34.824189,6,0.531482
-37.0,3,0.532483
-34.244426,7,0.535486
-27.766861,12,0.53949
-39.0,1,0.540491
-37.0,3,0.541492
-37.640787,2,0.542492
-37.0,3,0.543494
-37.658874,2,0.544494
-34.958011,5,0.546496
-37.610667,2,0.547497
-37.0,3,0.548498
-34.470382,5,0.5505
-37.0,3,0.552502
-39.0,1,0.553503
-37.0,3,0.554503
-37.0,3,0.555505
-34.497626,6,0.558507
-37.612701,2,0.559508
-32.394074,8,0.562511
-35.186689,5,0.564512
-39.0,1,0.564512
