#{"t_start": 1701784901.7282495, "env_id": "None"}
r,l,t
-15.485,258,0.389354
-9.45,155,0.443403
-8.061,155,0.497452
-10.71,254,0.586533
-11.251,254,0.674613
-13.854,252,0.761692
-13.037,252,0.84777
-58.97,518,1.794631
-8.244,157,1.852683
-2.208,58,1.873702
-59.763,508,2.056869
-0.502,60,2.077888
-2.228,58,2.097906
-2.298,58,2.117924
-8.387,155,2.171973
-2.309,58,2.191992
-9.509,156,2.246041
-2.259,58,2.266059
-15.103,254,2.354139
-8.972,155,2.407187
-30.153,341,3.258961
-0.254,60,3.282983
-2.101,58,3.307005
-2.346,58,3.328024
-57.778,511,3.509189
-9.48,164,3.639307
-29.32,341,3.757414
-2.182,58,3.778433
-2.029,58,3.798451
-2.293,58,3.81847
-9.372,155,3.872519
-7.666,155,3.926568
-2.08,58,3.946586
-0.335,60,3.967605
-2.36,58,3.988624
-31.889,341,4.812372
-9.282,155,4.870426
-2.12,58,4.894447
-9.527,155,4.9525
-9.294,155,5.00755
-28.289,341,5.125657
-0.234,60,5.146677
-8.698,155,5.200726
-0.056,60,5.220744
-2.154,58,5.241763
-8.572,155,5.294811
-2.082,58,5.31583
-2.202,58,5.335849
-9.81,155,5.389898
-2.101,58,5.409916
-2.203,58,5.430935
-8.733,155,6.176612
-8.755,155,6.241671
-8.387,155,6.303728
-2.313,58,6.324747
-14.376,254,6.413828
-2.126,58,6.433846
-8.813,155,6.487895
-8.811,155,6.541944
-2.171,58,6.561963
-1.965,58,6.581981
-0.198,60,6.603
-2.029,58,6.624019
-2.058,58,6.644037
-2.183,58,6.664055
-2.121,58,6.685075
-2.034,58,6.705093
-12.193,252,6.792172
-2.124,58,6.943309
-28.644,341,7.773565
-18.235,346,7.919698
-1.804,58,7.939717
-8.783,155,7.993766
-8.822,155,8.047815
-26.979,341,8.165922
-1.941,58,8.186941
-8.843,155,8.23999
-8.681,155,8.294039
-0.2,60,8.315058
-1.923,58,8.335076
-10.052,155,8.389125
-2.047,58,8.409143
-32.715,346,9.257914
-7.927,155,9.317968
-2.173,161,9.378023
-8.593,155,9.432073
-28.9,341,9.549179
-27.871,345,9.668351
-8.192,155,9.724982
-2.272,58,9.745007
-8.058,155,9.799056
-2.028,58,9.819074
-2.323,58,9.840093
-9.627,164,9.896144
-8.927,252,10.703878
-8.507,155,10.76193
-2.138,58,10.785952
-1.856,58,10.810975
-2.004,58,10.832995
-7.466,155,10.890047
-2.267,58,10.913068
-8.422,252,11.00315
-2.412,58,11.024169
-9.46,155,11.077217
-9.604,155,11.131266
-1.807,58,11.151284
-0.201,60,11.172304
-2.002,58,11.193323
-30.346,346,11.312431
-7.806,155,11.36648
-8.386,155,12.164204
-8.856,160,12.227262
-2.15,58,12.251283
-7.57,155,12.316343
-8.35,155,12.372394
-1.91,58,12.393414
-1.836,58,12.413431
-2.257,58,12.43445
-0.23,60,12.462476
-25.339,341,12.589592
-23.468,341,12.712703
-1.837,58,12.733723
-7.265,155,12.805789
-1.962,58,12.830811
-2.1,58,12.858836
-6.673,155,13.785203
-1.943,58,13.811226
-2.016,58,13.836248
-10.523,256,13.944352
-7.678,155,14.002405
-1.864,58,14.022423
-7.56,155,14.077473
-1.939,58,14.097491
-8.778,160,14.154543
-1.91,58,14.176563
-1.822,58,14.196581
-8.94,155,14.252632
-2.223,58,14.273651
-7.577,155,14.328701
-7.144,155,14.477837
-10.778,252,14.585935
-23.324,347,15.482749
-7.467,155,15.551812
-25.962,341,15.699947
-8.418,155,15.755998
-1.988,58,15.779019
-1.566,58,15.800038
-1.862,58,15.822058
-9.273,155,15.878109
-15.731,346,16.001221
-1.879,58,16.02224
-1.913,58,16.042259
-6.229,155,16.097308
-8.92,252,16.18739
-8.607,252,17.128749
-27.692,345,17.264874
-7.778,157,17.323927
-2.292,58,17.344945
-14.615,254,17.435028
-6.427,155,17.491078
-1.996,58,17.512098
-6.974,155,17.585164
-7.744,155,17.654227
-26.692,433,17.813371
-50.206,511,18.793294
-9.188,155,18.851852
-8.433,155,18.906902
-1.692,58,18.92692
-7.35,155,18.980969
-7.748,155,19.036019
-7.356,155,19.090068
-2.115,58,19.110086
-6.428,155,19.165136
